SiteCode,Plot,Competition,Rodents,Trt,Species,Fecundity,SeedSize_mg,Graminoid,Litterdepth,Year,numb,prec1,prod_m2
BN,253,+,-,+-,LUSE,78,20.92,80,18.18181818,Seedlings,39,0.5,338.4
BN,253,+,-,+-,LUSE,78,20.92,80,18.18181818,Adults_Y3,15,0.192307692,338.4
BN,253,+,-,+-,PEPR,926,0.046,80,18.18181818,Seedlings,0,0,338.4
BN,253,+,-,+-,PEPR,926,0.046,80,18.18181818,Adults_Y3,0,0,338.4
BN,253,+,-,+-,POGL,12587,0.0956,80,18.18181818,Seedlings,12,0.000953378,338.4
BN,253,+,-,+-,POGL,12587,0.0956,80,18.18181818,Adults_Y3,4,0.000317793,338.4
BN,253,+,-,+-,ZIVE,290,1.375,80,18.18181818,Seedlings,22,0.075820787,338.4
BN,253,+,-,+-,ZIVE,290,1.375,80,18.18181818,Adults_Y3,4,0.013785598,338.4
BU,313,+,+,++,ACMI,1277,0.0884,50,52.16666667,Seedlings,18,0.014095536,382
BU,313,+,+,++,ACMI,1277,0.0884,50,52.16666667,Adults_Y3,NA,NA,382
BU,313,+,+,++,ANMI,1244,0.0441,50,52.16666667,Seedlings,1,0.000803565,382
BU,313,+,+,++,ANMI,1244,0.0441,50,52.16666667,Adults_Y3,NA,NA,382
BU,313,+,+,++,ARLU,4919,0.14,50,52.16666667,Seedlings,15,0.003049424,382
BU,313,+,+,++,ARLU,4919,0.14,50,52.16666667,Adults_Y3,NA,NA,382
BU,313,+,+,++,ARSO,59,0.752,50,52.16666667,Seedlings,0,0,382
BU,313,+,+,++,ARSO,59,0.752,50,52.16666667,Adults_Y3,NA,NA,382
BU,313,+,+,++,BASA,150,8.328,50,52.16666667,Seedlings,1,0.006666667,382
BU,313,+,+,++,BASA,150,8.328,50,52.16666667,Adults_Y3,NA,NA,382
BU,313,+,+,++,ERPU,6629,0.0689,50,52.16666667,Seedlings,10,0.001508553,382
BU,313,+,+,++,ERPU,6629,0.0689,50,52.16666667,Adults_Y3,NA,NA,382
BU,313,+,+,++,ERUM,494,2.164286,50,52.16666667,Seedlings,92,0.186355534,382
BU,313,+,+,++,ERUM,494,2.164286,50,52.16666667,Adults_Y3,NA,NA,382
BU,313,+,+,++,GAAR,230,3.92,50,52.16666667,Seedlings,9,0.039130435,382
BU,313,+,+,++,GAAR,230,3.92,50,52.16666667,Adults_Y3,NA,NA,382
BU,313,+,+,++,GETR,127,1.354558,50,52.16666667,Seedlings,3,0.023670054,382
BU,313,+,+,++,GETR,127,1.354558,50,52.16666667,Adults_Y3,NA,NA,382
BU,313,+,+,++,GEVI,36,8.68,50,52.16666667,Seedlings,1,0.028068784,382
BU,313,+,+,++,GEVI,36,8.68,50,52.16666667,Adults_Y3,NA,NA,382
BU,313,+,+,++,HEVI,5177,0.581626,50,52.16666667,Seedlings,139,0.026848708,382
