Site,Species,Seed_loss_percent,SeedSize_mg_log10
PE,ZIVE,0,0.139879086
PE,ZIVE,0,0.139879086
PE,ZIVE,0,0.139879086
PE,ZIVE,0,0.139879086
CN,ZIVE,0,0.139879086
CN,ZIVE,0,0.139879086
CN,ZIVE,0,0.139879086
CN,ZIVE,0,0.139879086
CN,ZIVE,0,0.139879086
CN,ZIVE,0,0.139879086
CN,ZIVE,0,0.139879086
CN,ZIVE,0,0.139879086
CN,ZIVE,0,0.139879086
CN,ZIVE,0,0.139879086
CN,ZIVE,0,0.139879086
DR,ZIVE,0,0.139879086
DR,ZIVE,0,0.139879086
DR,ZIVE,0,0.139879086
DR,ZIVE,0,0.139879086
DR,ZIVE,0,0.139879086
DR,ZIVE,0,0.139879086
DR,ZIVE,0,0.139879086
DR,ZIVE,0,0.139879086
DR,ZIVE,0,0.139879086
DR,ZIVE,0,0.139879086
DR,ZIVE,0,0.139879086
DR,ZIVE,0,0.139879086
DR,ZIVE,0,0.139879086
DR,ZIVE,0,0.139879086
DR,ZIVE,0,0.139879086
DR,ZIVE,0,0.139879086
BP,ZIVE,0,0.139879086
BP,ZIVE,0,0.139879086
BP,ZIVE,0,0.139879086
BP,ZIVE,0,0.139879086
BP,ZIVE,0,0.139879086
BP,ZIVE,0,0.139879086
BP,ZIVE,0,0.139879086
BP,ZIVE,0,0.139879086
BP,ZIVE,0,0.139879086
BP,ZIVE,0,0.139879086
BP,ZIVE,0,0.139879086
BM,HEVI,0,-0.236572006
BM,HEVI,0,-0.236572006
BM,HEVI,0,-0.236572006
BM,HEVI,0,-0.236572006
BM,HEVI,0,-0.236572006
BM,HEVI,0,-0.236572006
CN,HEVI,0,-0.236572006
CN,HEVI,0,-0.236572006
CN,HEVI,0,-0.236572006
CN,HEVI,0,-0.236572006
CN,HEVI,0,-0.236572006
CN,HEVI,0,-0.236572006
CN,HEVI,0,-0.236572006
KL,HEVI,0,-0.236572006
KL,HEVI,0,-0.236572006
KL,HEVI,0,-0.236572006
KL,HEVI,0,-0.236572006
KL,HEVI,0,-0.236572006
BU,HEVI,0,-0.236572006
BU,HEVI,0,-0.236572006
BU,HEVI,0,-0.236572006
BU,HEVI,0,-0.236572006
BU,HEVI,0,-0.236572006
BU,HEVI,0,-0.236572006
CN,ERUM,0,0.334453751
CN,ERUM,0,0.334453751
CN,ERUM,0,0.334453751
CN,ERUM,0,0.334453751
CN,ERUM,0,0.334453751
CN,ERUM,0,0.334453751
CN,ERUM,0,0.334453751
CN,ERUM,0,0.334453751
CN,ERUM,0,0.334453751
CN,ERUM,0,0.334453751
CN,ERUM,0,0.334453751
CN,ERUM,0,0.334453751
CW,PEPR,0,-1.301029996
CW,PEPR,0,-1.301029996
CW,PEPR,0,-1.301029996
CW,PEPR,0,-1.301029996
CW,PEPR,0,-1.301029996
CW,PEPR,0,-1.301029996
CW,PEPR,0,-1.301029996
CW,PEPR,0,-1.301029996
CW,PEPR,0,-1.301029996
CW,PEPR,0,-1.301029996
CW,PEPR,0,-1.301029996
CW,PEPR,0,-1.301029996
CW,PEPR,0,-1.301029996
CW,PEPR,0,-1.301029996
BF,PEPR,0,-1.301029996
BF,PEPR,0,-1.301029996
BF,PEPR,0,-1.301029996
BF,PEPR,0,-1.301029996
BF,PEPR,0,-1.301029996
BF,PEPR,0,-1.301029996
BF,PEPR,0,-1.301029996
BF,PEPR,0,-1.301029996
BF,PEPR,0,-1.301029996
BF,PEPR,0,-1.301029996
BF,PEPR,0,-1.301029996
BF,PEPR,0,-1.301029996
BF,PEPR,0,-1.301029996
PE,PEPR,0,-1.301029996
PE,PEPR,0,-1.301029996
PE,PEPR,0,-1.301029996
PE,PEPR,0,-1.301029996
PE,PEPR,0,-1.301029996
PE,PEPR,0,-1.301029996
PE,PEPR,0,-1.301029996
PE,PEPR,0,-1.301029996
PE,PEPR,0,-1.301029996
PE,PEPR,0,-1.301029996
PE,PEPR,0,-1.301029996
PE,PEPR,0,-1.301029996
PE,PEPR,0,-1.301029996
PE,PEPR,0,-1.301029996
PE,PEPR,0,-1.301029996
PE,PEPR,0,-1.301029996
PE,PEPR,0,-1.301029996
PE,PEPR,0,-1.301029996
PE,ARSO,0,-0.124938737
PE,ARSO,0,-0.124938737
PE,ARSO,0,-0.124938737
PE,ARSO,0,-0.124938737
PE,ARSO,0,-0.124938737
PE,ARSO,0,-0.124938737
PE,ARSO,0,-0.124938737
PE,ARSO,0,-0.124938737
PE,ARSO,0,-0.124938737
PE,ARSO,0,-0.124938737
PE,ARSO,0,-0.124938737
PE,ARSO,0,-0.124938737
PE,ARSO,0,-0.124938737
PE,ARSO,0,-0.124938737
PE,ARSO,0,-0.124938737
PE,ARSO,0,-0.124938737
PE,ARSO,0,-0.124938737
PE,ARSO,0,-0.124938737
PE,ARSO,0,-0.124938737
PE,ARSO,0,-0.124938737
BM,ARSO,0,-0.124938737
BM,ARSO,0,-0.124938737
BM,ARSO,0,-0.124938737
BM,ARSO,0,-0.124938737
BM,ARSO,0,-0.124938737
BM,ARSO,0,-0.124938737
BM,ARSO,0,-0.124938737
BM,ARSO,0,-0.124938737
BM,ARSO,0,-0.124938737
BM,ARSO,0,-0.124938737
BM,ARSO,0,-0.124938737
BM,ARSO,0,-0.124938737
BM,ARSO,0,-0.124938737
BM,ARSO,0,-0.124938737
BM,ARSO,0,-0.124938737
BM,ARSO,0,-0.124938737
BM,ARSO,0,-0.124938737
BM,ARSO,0,-0.124938737
BM,ARSO,0,-0.124938737
BM,ARSO,0,-0.124938737
BU,ARSO,0,-0.124938737
BU,ARSO,0,-0.124938737
BU,ARSO,0,-0.124938737
BU,ARSO,0,-0.124938737
BU,ARSO,0,-0.124938737
BU,ARSO,0,-0.124938737
BU,ARSO,0,-0.124938737
BU,ARSO,0,-0.124938737
BU,ARSO,0,-0.124938737
BU,ARSO,0,-0.124938737
BU,ARSO,0,-0.124938737
BU,ARSO,0,-0.124938737
BU,ARSO,0,-0.124938737
BU,ARSO,0,-0.124938737
BU,ARSO,0,-0.124938737
BU,ARSO,0,-0.124938737
BU,ARSO,0,-0.124938737
BU,ARSO,0,-0.124938737
BU,ARSO,0,-0.124938737
BU,ARSO,0,-0.124938737
CN,ARSO,0,-0.124938737
CN,ARSO,0,-0.124938737
CN,ARSO,0,-0.124938737
CN,ARSO,0,-0.124938737
CN,ARSO,0,-0.124938737
